ID;type;length;Replicate;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18
sll1775-5UTR(Kopf);feature;37;3;0;0;0;1;0;0;1;2.5;0;0;2.5;0;0;1.5;0;0
sll1775-as;feature;29;3;0;0;2;0;1;0;0;4;1;1;0;0;0;0;0;0
sll1776;feature;678;3;0;0;2;0;0;0;4;3;2;1;22;9;0;2;0;0
sll1780;feature;1017;3;0;0;2.95;0.36;0.09;0.18;0.76;1.58;3.98;11.2;5.58;3.5;4.09;0.36;0.18;0
sll1780-3UTR(Kopf);feature;240;3;0;0;2.08;0;0;0;0;1;0;2;5;0;0;2;0;0.25
sll1780-5UTR(Kopf);feature;297;3;0;0;0.5;0;1;0;2;7;0;0.17;4.11;2.41;0.46;1;0;0
sll1783;feature;444;3;0;0;2.25;2.5;1.33;6.33;5;5;0.5;6.5;4.5;8;4;0;0;0
sll1783-5UTR(Kopf);feature;100;3;0;0;1;0;0;0;4;2;0.5;0.5;2.5;4;1;0;0;0
sll1784;feature;804;3;0;0;1;0;1;8;57;35.5;8;10.5;8;15;8;4;0;0
sll1785;feature;807;3;0;0;5;0;2;9;84.5;72;9.5;22;20.5;13;5.5;6.5;4;0
sll1786;feature;786;3;0;0;6;6;17;35;294;183;54;49;62;74;46;28;8;7
sll1787;feature;3309;3;2;1;26.33;20.33;49;224;1672;992;179;321;314;358;326;276;54;14
sll1787-as;feature;189;3;0;0;1;0;0;1;2;4;3;4;1;0;0;0;0;0
sll1789;feature;3954;3;1;0;101.5;36;127.33;469;3255;1747;325;461;717;778;757;580;157;30
sll1791;feature;387;3;0;0;4;2;0;2;2.75;4.5;3.5;11.5;6.5;0.33;4.5;0;1;0
sll1791-5UTR(Kopf);feature;24;3;0;0;2.5;1.5;0;0;1.75;2;2.5;8;3.5;0;2;0;0;0
sll1792;feature;429;3;0;0;2;0.5;0;0;1.5;0.5;0;0.5;2;0;1.5;0;0;0
sll1796;feature;363;3;0;0;0;2;0;7.67;30.67;13.67;0;3;7.33;1.83;3;3.33;0;0
sll1797;feature;609;3;0;0;0;0;1;2;12.5;10;0;5;2.5;3;1;4;0;0
sll1797-3UTR(Kopf);feature;84;3;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
sll1797-5UTR(Kopf);feature;44;3;0;0;0;0;0;0;0.5;0;0;2;0.5;2;0;0;0;0
sll1799;feature;642;3;0;0;0;1;5;30.5;189.5;133;33.83;46;32;32;41;44;5;7
sll1800;feature;633;3;0;0;0;4;6;49;356.5;276;77;80.5;70.5;78;57.5;43.5;5;5
sll1800-as;feature;151;3;0;0;0;0;0;3;10;8;0;0;0;4;0;0;0;0
sll1800-as2;feature;101;3;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0
sll1801;feature;306;3;0;0;3;0;3;9.5;79.5;32.5;8.5;21;16;18.5;10.5;10.5;1;1
sll1802;feature;831;3;0;0;0;11;15;54;301.5;190.5;47;67.5;81.5;70.5;53;56;12;1
sll1802-as;feature;41;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
sll1803;feature;366;3;0;0;5;2;8;28.5;208;106.5;9;25;40;23;22.5;13.5;0;2
sll1804;feature;723;3;0;0;5;0;10;30;279.5;159.5;18.5;39;49;39;23;34;10;4
sll1805;feature;420;3;0;0;5;0;2;14;98.5;50.5;15.5;10;16;15.5;22.5;12;4;0
sll1806;feature;369;3;2;0;1;0;5;15.5;150;63;3.5;21;20;32.5;15.5;17.5;6.5;0
sll1806-as;feature;250;3;0;0;1;0;0;0;5;2;0;2;2;1;1;0;0;0
sll1807;feature;318;3;0;0;4;0;4;18;147;63;7.5;21;25;24.5;32.5;11.5;3.5;0
sll1808;feature;603;3;0;0;2;0;8;29.5;331.5;145;22;41.5;36;33;32;21;13;2
sll1809;feature;402;3;0;0;8;4;18;38;231;103;26;31;23;23;19.5;12;0;2
sll1810;feature;540;3;0;0;4;3;18.5;46;390.5;195;37;60;67.5;49;41;16;11;0
sll1811;feature;363;3;0;0;0;12;23.5;25;248;200.5;27;62.5;34.5;19.5;28.5;10;6;2
sll1811-as;feature;63;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sll1812;feature;522;3;0;0;5;2;2;40.5;206.5;119.5;40;31;61;35.5;41;26;0;0
sll1812-as;feature;132;3;0;0;0;0;0;0;5;0;3;3;0;0;0;0;2;0
sll1813;feature;444;3;0;0;1;0;10;31.5;352.5;224;31.5;46.5;70.5;49.5;41;31;5;0
sll1814;feature;1329;3;0;0;7;3;21;70;542.5;391;82.5;111.5;155.5;137;105;54.5;6;1
sll1814-5UTR(Kopf);feature;49;3;0;0;0;0;2;2;28;15;1;2.5;4;6.5;4;0.5;1;0
sll1814-as;feature;60;3;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
sll1815;feature;564;3;0;0;8;1;2;15;82;38.5;6;23;15;19;17;3;0;2
sll1816;feature;384;3;0;0;5;1;11;24;185;116;6.5;11.5;32;19;23.5;9;2;0
sll1817;feature;393;3;0;0;0;1;12;20;296;206;26.5;44.5;56;42;42.5;22;0;0
sll1818;feature;945;3;0;0;11;5;17;65;525;366;97;86;123;161;120;83;33;1
sll1818-as;feature;59;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
sll1819;feature;351;3;0;0;0;0;13;29.5;367.5;213.5;45;58.5;79.5;74.5;80.5;43;12.5;4
sll1820;feature;828;3;0;0;6;3;48;109.5;895;646.5;182;134.5;235;181.5;142.5;110.5;18.5;5
sll1821;feature;456;3;0;0;2;2;7;13;132.5;66;11;17;25.5;28;20.5;11;6;5
sll1822;feature;414;3;0;0;2;0;17;55;515.5;345.5;50.5;61.5;56.5;54;43.5;18;8;3
sll1823;feature;1332;3;0;0;6;9.5;9;62;294;234;46;80.5;69.5;77;28.5;23.5;2;6
sll1823-as;feature;154;3;0;0;0;0;0;0;6;0;0;4;1;0;1;0;0;0
sll1824;feature;357;3;0;0;2;0;6;12;77;59;4;20.5;34.5;11;11.5;16.5;2;0
sll1825;feature;591;3;0;0;1;0;3;10;88.5;56;12;9.5;18;13.5;8;7;0;1
sll1825-3UTR(Kopf);feature;605;3;0;0;2;0;0;1.5;9;7.5;3;7;1;1;4;2;0;2
sll1825-5UTR(Kopf);feature;31;3;0;0;0;0;1;0.5;3.5;2.5;1;0.5;2;0.5;0;1;0;0
sll1825-as;feature;68;3;0;0;0;0;0;6;10;13;4;1;0;2;2;0;0;0
sll1830;feature;1077;3;0;0;8;1;0.5;0;21;7;2;11;3;8;6.5;8.5;0;0
sll1830-3UTR(Kopf);feature;67;3;0;0;0;0;0.5;0.5;4.17;1;0;1.5;0;0;1.5;0;0;0
sll1830-5UTR(Kopf);feature;22;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0.5;0;0
sll1830-as;feature;72;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
sll1831;feature;1383;3;0;0.5;6;2;1;6;71.67;14.33;1;11;10;5;10.5;7;10;3
sll1831-3UTR(Kopf);feature;180;3;0;0;0;0;0;0;2;3;1;6.5;2;1;0;1;0;0
sll1832;feature;459;3;0;0;8;1;8.5;15;78.5;63;13.5;19.5;26;21;15.5;6.5;1.5;0
sll1832-5UTR(Kopf);feature;42;3;0;0;0;0;1.5;1;9;7;4.5;2;2.5;3;3.5;2.5;0.5;0
sll1833;feature;1824;3;0;0;58;18;29;30;129.5;85;12;34.5;41.5;30;38;13;4;0
sll1833-as;feature;121;3;0;0;0;0;0;1;9.5;6.67;0;2.67;0;1.5;0.5;0.67;0.5;0
sll1834;feature;405;3;0;0;5.5;0;0;0.5;3;3;0;5.5;1;0;3;0;0;0
