,ID,Repl1_F1,Repl1_F2,Repl1_F3,Repl1_F4,Repl1_F5,Repl1_F6,Repl1_F7,Repl1_F8,Repl1_F9,Repl1_F10,Repl1_F11,Repl1_F12,Repl1_F13,Repl1_F1415,Repl1_F1617,Repl1_F18,Repl2_F1,Repl2_F2,Repl2_F3,Repl2_F4,Repl2_F5,Repl2_F6,Repl2_F7,Repl2_F8,Repl2_F9,Repl2_F10,Repl2_F11,Repl2_F12,Repl2_F13,Repl2_F1415,Repl2_F1617,Repl2_F18,Repl3_F1,Repl3_F2,Repl3_F3,Repl3_F4,Repl3_F5,Repl3_F6,Repl3_F7,Repl3_F8,Repl3_F9,Repl3_F10,Repl3_F11,Repl3_F12,Repl3_F13,Repl3_F1415,Repl3_F1617,Repl3_F18,Average_F1,Average_F2,Average_F3,Average_F4,Average_F5,Average_F6,Average_F7,Average_F8,Average_F9,Average_F10,Average_F11,Average_F12,Average_F13,Average_F1415,Average_F1617,Average_F18,SpCorAv,Average_Sum_readcount,Feature_subtype
491,sll0280,0,0,0,0,0.209674076,0,0.053030316,0.32809152,0.241676969,0.167527119,0,0,0,0,0,0,0,0,0,0.145077008,0,0.109767281,0.075320136,0.019022332,0.347833526,0.203266116,0.0997136,0,0,0,0,0,0,0.003005655,0.013624999,0.100581741,0,0.2659462,0.137514876,0.032885639,0.011487231,0.151068834,0.238488653,0,0.045396172,0,0,0,0.00E+00,1.00E-03,4.54E-03,8.19E-02,6.99E-02,1.25E-01,8.86E-02,1.27E-01,2.00E-01,1.74E-01,1.13E-01,0.00E+00,1.51E-02,0.00E+00,0.00E+00,0.00E+00,0.44026262,4.5092522,mRNA
492,sll0281,0,0,0,0,0.109890973,0.333493457,0.19455372,0.064482751,0.094997858,0.14633599,0,0,0.056245251,0,0,0,0,0,0,0.115822984,0.123794012,0.146055466,0.020044074,0.030373155,0.261359722,0.16227856,0.079606871,0.060665155,0,0,0,0,0,0,0.015125015,0,0.202210005,0.09840833,0.169615875,0.04867482,0.008501262,0.237575625,0.101485415,0.047229028,0,0,0.071174626,0,0.00E+00,0.00E+00,5.04E-03,3.86E-02,1.45E-01,1.93E-01,1.28E-01,4.78E-02,1.22E-01,1.82E-01,6.04E-02,3.60E-02,1.87E-02,0.00E+00,2.37E-02,0.00E+00,0.6045134,6.224772317,mRNA
493,sll0283,0,0,0,0,0.352915289,0,0.178517152,0.138057737,0.330509823,0,0,0,0,0,0,0,0,0,0.01189949,0.131297792,0,0.119329412,0.054587654,0.041358839,0.2780399,0.233249475,0.043359971,0.041303585,0.045573881,0,0,0,0,0,0.012104991,0,0.24275186,0,0.244347371,0.233735279,0.081645704,0.100661671,0.084753122,0,0,0,0,0,0.00E+00,0.00E+00,8.00E-03,4.38E-02,1.99E-01,3.98E-02,1.59E-01,1.38E-01,2.30E-01,1.11E-01,4.27E-02,1.38E-02,1.52E-02,0.00E+00,0.00E+00,0.00E+00,0.412037,3.414184278,mRNA
494,sll0284,0,0,0.002111669,0.05285888,0.191490315,0.129058936,0.108970467,0.1123643,0.193128068,0.095624068,0.061636125,0,0.024502515,0,0.028254657,0,0,0,0.004157742,0.041329829,0.019632969,0.180675292,0.219341817,0.12283339,0.116578251,0.094366734,0.121201539,0.036079202,0.031847488,0.011955747,0,0,0,0,0.020671876,0,0.069091835,0,0.283979287,0.128893239,0.023237933,0.246678584,0.06030591,0.075307785,0.09183355,0,0,0,0.00E+00,0.00E+00,8.98E-03,3.14E-02,9.34E-02,1.03E-01,2.04E-01,1.21E-01,1.11E-01,1.46E-01,8.10E-02,3.71E-02,4.94E-02,3.99E-03,9.42E-03,0.00E+00,0.582465695,11.16767581,mRNA
495,sll0286,0,0,0.009853095,0.050869638,0.110570368,0.149135672,0.223721758,0.072090458,0.169929203,0.078528376,0.069022916,0.02854986,0.037728656,0,0,0,0,0,0,0.157205466,0,0.317183576,0.217645093,0.065960325,0.088685284,0,0,0.098808305,0.054511951,0,0,0,0,0,0.015323247,0,0,0.523414985,0.167542928,0.129446003,0.045216581,0.042474591,0,0,0.076581666,0,0,0,0.00E+00,0.00E+00,8.39E-03,6.94E-02,3.69E-02,3.30E-01,2.03E-01,8.92E-02,1.01E-01,4.03E-02,2.30E-02,4.25E-02,5.63E-02,0.00E+00,0.00E+00,0.00E+00,0.632054946,4.525062717,mRNA
496,sll0288,0,0,0,0,0.040340166,0.081615326,0.234663204,0.165697996,0.127867714,0.064462635,0.028329881,0.085932384,0.030970825,0.044883926,0.095235944,0,0,0,0.002512309,0.066595964,0.118631918,0.067183243,0.242024013,0.104783844,0.122099868,0.051837232,0.018308961,0.052321927,0.076975185,0.072242417,0,0,0.004483118,0.004563638,0.015515646,0.095448974,0.155574329,0.176662326,0.22619546,0.099863867,0.008720823,0.028671934,0.036210942,0.024224401,0.025847741,0.084246709,0.018253209,0,1.49E-03,1.52E-03,6.01E-03,5.40E-02,1.05E-01,1.08E-01,2.34E-01,1.23E-01,8.62E-02,4.83E-02,2.76E-02,5.42E-02,4.46E-02,6.71E-02,3.78E-02,0.00E+00,0.603849443,6.241443017,mRNA
497,sll0289,0,0,0,0.043591245,0,0.239620202,0.099849896,0.046331853,0.068257429,0.168231472,0.073933955,0.076453017,0,0.043925963,0.139804968,0,0,0.002240977,0.016247242,0.035889979,0.102293214,0.162929143,0.173909172,0.056470238,0.202468341,0.089395792,0.039468352,0.056394795,0,0.062292756,0,0,0,0,0.016999402,0.083661384,0.416660088,0.036867903,0.146154068,0.063824727,0.012739723,0.047120733,0.026449188,0.070775928,0.050345872,0.028400983,0,0,0.00E+00,7.47E-04,1.11E-02,5.44E-02,1.73E-01,1.46E-01,1.40E-01,5.55E-02,9.45E-02,1.02E-01,4.66E-02,6.79E-02,1.68E-02,4.49E-02,4.66E-02,0.00E+00,0.413175893,7.334182283,mRNA
498,sll0290,0,0,0.002854367,0.00589462,0.088940528,0.307824801,0.243039405,0.090845672,0.078455866,0.062559967,0.042490265,0.024812038,0.021859415,0.017819648,0.012603406,0,0,0,0.00082658,0.076688069,0.046837601,0.223804001,0.267325341,0.11204424,0.092705381,0.064809288,0.042167087,0.017214546,0.034822928,0.007130588,0.013624349,0,0,0,0.005572781,0.036568078,0.124173113,0.096688934,0.347886754,0.118066414,0.035499094,0.04290895,0.075868021,0.027068907,0.033008988,0.021724436,0.034965529,0,0.00E+00,0.00E+00,3.08E-03,3.97E-02,8.67E-02,2.09E-01,2.86E-01,1.07E-01,6.89E-02,5.68E-02,5.35E-02,2.30E-02,2.99E-02,1.56E-02,2.04E-02,0.00E+00,0.899408284,33.79364739,mRNA
499,sll0293,0,0,0,0,0,0.178404132,0.262052446,0.155229287,0.165163761,0.117424847,0.010321117,0.085382206,0,0,0.026022205,0,0,0,0.005065627,0.011189914,0,0.316080597,0.209142242,0.132987804,0.111481132,0.04877628,0.036916779,0.050756212,0.077603414,0,0,0,0,0,0.008321842,0,0.166885087,0.121825446,0.279969927,0.070300318,0.049112988,0.051901554,0.116530783,0.051971187,0.083180868,0,0,0,0.00E+00,0.00E+00,4.46E-03,3.73E-03,5.56E-02,2.05E-01,2.50E-01,1.20E-01,1.09E-01,7.27E-02,5.46E-02,6.27E-02,5.36E-02,0.00E+00,8.67E-03,0.00E+00,0.668063828,8.954815038,mRNA
500,sll0294,0,0,0,0,0.174382342,0.216494882,0.192455594,0.117829409,0.105067451,0.042221042,0.05195456,0.03376984,0.028398912,0,0.037425967,0,0,0,0.003594218,0.047637536,0.162931164,0.144172889,0.240726219,0.089944984,0.110183628,0.038563507,0.115251812,0.024951339,0.005506202,0.016536501,0,0,0,0,0.008497723,0.062731439,0.085206098,0.04146674,0.232283251,0.17690149,0.017911067,0.091275179,0.052059724,0.066336994,0.07786065,0.015971836,0,0.071497808,0.00E+00,0.00E+00,4.03E-03,3.68E-02,1.41E-01,1.34E-01,2.22E-01,1.28E-01,7.77E-02,5.74E-02,7.31E-02,4.17E-02,3.73E-02,1.08E-02,1.25E-02,2.38E-02,0.643324018,20.52844877,mRNA
